Title,Description,Director,Genres,Cast,Origin_Country,Release_Date,Rating,Duration,Imdb_Rating,Type
Bliss,"Two young newlyweds seek out the help of unlicensed sex therapist Baltazar, who initiates the couple into the mysteries of tantric sex.",Lance Young,"Dramas, Romantic Movies","Craig Sheffer, Sheryl Lee, Terence Stamp, Casey Siemaszko, Spalding Gray, Lois Chiles, Blu Mankuma, Ken Camroux-Taylor, Eli Gabay, Molly Parker","Canada, United States",1997.0,R,103 min,5.9/10,Movie
Bodyguard,"Irked by her bodyguard, an heiress invents a secret admirer to throw him off his duties, but the plan may backfire when she falls for him.",Siddique,"Action & Adventure, Comedies, International Movies","Salman Khan, Kareena Kapoor, Raj Babbar, Asrani, Vidya Sinha, Hazel Keech, Chetan Hansraj, Salim Baig",India,2011.0,TV-14,130 min,4.5/10,Movie
Bogda,An aspiring dancer accompanies her terminally ill mother on one last road trip that alternately strains and strengthens their knotty relationship.,Nisheeta Keni,"Dramas, International Movies","Suhas Joshi, Mrunmayee Deshpande, Rohit Kokate, Ajinkya Bhosale, Jayant Gadekar, Vivekanand Walake, Pallavi Malvade, Nirmala Tikam",India,2018.0,TV-PG,161 min,7.1/10,Movie
Boi,A young chauffeur who's at a crossroads in his life escorts a pair of clients around Barcelona and becomes embroiled in their mysterious quest.,Jorge M. Fontana,"Dramas, Independent Movies, International Movies","Bernat Quintana, Adrian Pang, Andrew Lua, Rachel Lascar, Fina Rius, Miranda Gas",Spain,2018.0,TV-MA,111 min,5.1/10,Movie
Bombairiya,"A PR agent trying to find her stolen phone, a politician in trouble, and a fading celebrity find their lives intertwining in unexpected, messy ways.",Pia Sukanya,"Comedies, Dramas, International Movies","Radhika Apte, Siddhant Kapoor, Akshay Oberoi, Adil Hussain, Amit Sial, Ravi Kishan, Ajinkya Deo, Shilpa Shukla","United Arab Emirates, United Kingdom, India",2018.0,TV-MA,108 min,4.4/10,Movie
Bombshell,"In 1985, when a vessel protesting nuclear testing is sunk in New Zealand, local police fight to prove it was a terrorist plot by their French allies.",Riccardo Pilizzeri,Dramas,"Ande Cunningham, Mark Mitchinson, Mia Pistorius, Nathalie Boltt, Nathan Lovejoy, Colin Moy, Jay Simon, Coen Falke, Greta Gregory, Byron Coll",New Zealand,2016.0,TV-MA,86 min,5.9/10,Movie
Boss,"Disowned by his father as a boy, Surya is taken in by a crime boss. When his brother Shiv is wrongly imprisoned, his father pleads for Surya's help.",Anthony D'Souza,"Action & Adventure, Comedies, Dramas","Akshay Kumar, Ronit Roy, Shiv Pandit, Mithun Chakraborty, Johny Lever, Aditi Rao Hydari, Danny Denzongpa, Govind Namdeo, Parikshat Sahni, Aakash Dabhade",India,2013.0,TV-14,139 min,5.3/10,Movie
Bosta,"After 15 years in France, Kamal returns to his native Beirut and reassembles his dance crew, striving to modernize traditional Dabke routines.",Philippe Aractingi,"Dramas, International Movies, Music & Musicals","Rodney El Haddad, Nadine Labaky, Nada Abou Farhat, Liliane Nemri, Omar Rajeh, Mounir Malaeb, Bshara Atallah, Rana Alamuddin, Joelle Rizk, Mahfouz Barakat, Mahmoud Mabsout, Bader Haddad, Youssef Emalhoub",Lebanon,2005.0,TV-14,112 min,6.5/10,Movie
Boushkash,A former goalkeeper-turned-talent scout embarks on a mischievous adventure to recruit players for Egyptian football clubs.,"Ahmed Yousry, Hazem Fouda","Comedies, International Movies","Mohamed Saad, Zeina, Ezzat Abou Aouf, Edward, Hassan Hosny, Ahmed Rateb, Hamdi el Sakhawy, Safaa El-Toukhy",Egypt,2008.0,TV-MA,100 min,5.3/10,Movie
Braven,A logger defends himself and his family from a group of murderous drug traffickers who have hidden a stash of heroin in his hunting cabin.,Lin Oeding,Action & Adventure,"Jason Momoa, Garret Dillahunt, Jill Wagner, Stephen Lang, Sasha Rosoff, Sala Baker, Fraser Aitcheson, Teach Grant, Glenn Ennis, Todd Scott, Zahn McClarnon, Brendan Fletcher",Canada,2018.0,R,94 min,6.0/10,Movie
Break,"After a serious accident, Lucie tries to rediscover herself as a dancer and meets Vincent, a talented b-boy battling his own insecurities.",Marc Fouchard,"Comedies, Dramas, International Movies","Sabrina Ouazani, Kévin Mischel, Hassam Ghancy, Slimane, Maxime Pambet, Camille Japy, Christophe Reymond","France, Belgium",2018.0,TV-MA,96 min,5.8/10,Movie
Bridezilla,"After failing to deliver for a demanding bride, a wedding planner makes a bold business move and throws the wedding of the year — for herself.",Andibachtiar Yusuf,"Comedies, Dramas, International Movies","Jessica Mila, Rio Dewanto, Sheila Dara, Rafael Tan, Widyawati, Aimee Saras, Rukman Rosadi, Lucinta Luna",Indonesia,2019.0,TV-MA,94 min,5.8/10,Movie
Bright,"In an LA rife with interspecies tensions, a human cop and his orc partner stumble on a powerful object and become embroiled in a prophesied turf war.",David Ayer,"Action & Adventure, Sci-Fi & Fantasy","Will Smith, Joel Edgerton, Noomi Rapace, Lucy Fry, Edgar Ramírez, Ike Barinholtz, Brad William Henke, Enrique Murciano, Happy Anderson, Kenneth Choi, Andrea Navedo, Dawn Olivieri",United States,2017.0,TV-MA,118 min,6.4/10,Movie
Brother,"Thrust from a violent home into a brutal custody center, a teenager learns to navigate a tough new reality and forge unlikely alliances to survive.",Julien Abraham,"Dramas, Independent Movies, International Movies","MHD, Darren Muselet, Aïssa Maïga, Jalil Lespert, Youssouf Gueye, Hiam Abbass, Lisette Malidor",France,2019.0,TV-MA,97 min,6.6/10,Movie
Brothers,"After a troubled past with their alcoholic father, two estranged brothers prepare to face each other again as rivals in a street fighting tournament.",Karan Malhotra,"Action & Adventure, Dramas, International Movies","Akshay Kumar, Sidharth Malhotra, Jackie Shroff, Jacqueline Fernandez, Shefali Shah, Kulbhushan Kharbanda, Rajendranath Zutshi, Ashutosh Rana","India, United States",2015.0,TV-14,155 min,6.3/10,Movie
Budapest,"Two best friends put their careers and marriages on the line when they launch a business hosting outrageous, anything-goes bachelor parties in Hungary.",Xavier Gens,"Comedies, International Movies","Manu Payet, Jonathan Cohen, Monsieur Poulpe, Alice Belaïdi, Alix Poisson","France, Belgium",2018.0,TV-MA,103 min,5.6/10,Movie
Buddies,"Inspired by the movie ""Thelma & Louise,"" three young people with Down syndrome leave the institution where they live to take a road trip together.",Marcelo Galvão,"Comedies, Dramas, Independent Movies","Ariel Goldenberg, Rita Pokk, Breno Viola, Lima Duarte, Marco Luque, Daniel Torres, Monaliza Marchi, Amélia Bittencourt, Giulia de Souza Merigo, Deto Montenegro, Rui Unas",Brazil,2012.0,TV-MA,103 min,6.6/10,Movie
Bulbbul,"A child bride grows up to be an enigmatic woman presiding over her household, harboring a painful past as supernatural murders of men plague her village.",Anvita Dutt,"Horror Movies, International Movies","Tripti Dimri, Avinash Tiwary, Rahul Bose, Parambrata Chatterjee, Paoli Dam, Veera Kapur Ee",India,2020.0,TV-MA,94 min,6.7/10,Movie
BuyBust,"In a mazelike Manila slum, at war with incensed civilians and a brutal cartel, special agent Nina Manigan must fight her way through one fierce night.",Erik Matti,"Action & Adventure, International Movies","Anne Curtis, Brandon Vera, Victor Neri, Arjo Atayde, Levi Ignacio, Alex Calleja, Lao Rodriguez, Joross Gamboa, Ricky Pascua, Nonie Buencamino",Philippines,2018.0,TV-MA,128 min,5.7/10,Movie
Bwakaw,"Gruff and alone, retiree Rene rejects most human contact but begins to soften when he comes to terms with his homosexuality.",Jun Lana,"Dramas, International Movies, LGBTQ Movies","Eddie Garcia, Princess, Rez Cortez, Bibeth Orteza, Joey Paras, Allan Paule, Beverly Salviejo, Soxy Topacio, Armida Siguion-Reyna, Luz Valdez, Gardo Versoza","Philippines, Canada, United Kingdom, United States",2012.0,TV-MA,110 min,7.1/10,Movie
Cadaver,"When a peculiar hotel dinner show draws crowds during a postapocalyptic famine, one family discovers they'll pay much more than the price of admission.",Jarand Herdal,"Horror Movies, International Movies","Gitte Witt, Thomas Gullestad, Thorbjørn Harr, Tuva Olivia Remman, Trine Wiggen, Maria Grazia Di Meo, Kingsford Siayor, Jonatan Rodriguez",Norway,2020.0,TV-MA,87 min,4.9/10,Movie
Calibre,Two lifelong friends on a hunting trip in Scotland find their nerves – and their morals – ruthlessly tested after a harrowing turn of events.,Matt Palmer,"Dramas, International Movies, Thrillers","Jack Lowden, Martin McCann, Tony Curran, Ian Pirie, Cameron Jack",United Kingdom,2018.0,TV-MA,101 min,6.7/10,Movie
Cam,"After a look-alike takes over her account, a cam girl with a growing fan base sets out to identify the mysterious culprit and reclaim her own identity.",Daniel Goldhaber,"Horror Movies, Independent Movies, Thrillers","Madeline Brewer, Patch Darragh, Melora Walters, Devin Druid, Imani Hakim, Michael Dempsey, Flora Diaz, Samantha Robinson, Jessica Parker Kennedy, Quei Tann",United States,2018.0,TV-MA,95 min,6.0/10,Movie
Candyflip,"On the incandescent shores of Goa, a young man tumbles down a mind-bending – and soon dangerous – series of trips after taking hallucinatory drugs.",Shanawaz Nellikunnil,"Dramas, Independent Movies, International Movies","Prashant Prakash, Kalki Koechlin, Prakash Raj, Gulshan Devaiah, Valeriya Polyanychko",India,2017.0,TV-MA,104 min,6.2/10,Movie
Carbon,"On the verge of losing his business, an entrepreneur launches a carbon tax scam that thrusts him into a web of criminals, intrigue and murder.",Olivier Marchal,"Dramas, International Movies, Thrillers","Benoît Magimel, Gringe, Idir Chender, Laura Smet, Michaël Youn, Dani, Patrick Catalifo, Gérard Depardieu","France, Belgium",2017.0,TV-MA,104 min,6.6/10,Movie
Cargo,"Aboard a spaceship where souls of the deceased are readied for reincarnation, a lone crew member’s rigid existence is disrupted by a spry new assistant.",Arati Kadav,"Comedies, Dramas, Independent Movies","Vikrant Massey, Shweta Tripathi, Nandu Madhav, Konkona Sen Sharma, Biswapati Sarkar, Ritwik Bhaumik, Prabal Panjabi, Hansal Mehta",India,2020.0,TV-14,113 min,6.0/10,Movie
Cargo,"Amid a terrifying pandemic, a father searches the wilds of Australia for someone willing to protect and care for his infant daughter.","Yolanda Ramke, Ben Howling","Horror Movies, International Movies","Martin Freeman, Anthony Hayes, Susie Porter, Kris McQuade, Caren Pistorius",Australia,2018.0,TV-MA,104 min,6.1/10,Movie
Carnaval,"After a breakup, an influencer takes her friends on a free trip to Bahia's vibrant Carnival, where she learns life's not just about social media likes.",Leandro Neri,"Comedies, International Movies, Music & Musicals","Giovana Cordeiro, Gkay, Bruna Inocencio, Samya Pascotto, Flavia Pavanelli, Micael Borges, Jean Pedro, Rafael Medrado, Nikolas Antunes, Stella Miranda",Brazil,2021.0,TV-MA,95 min,3.8/10,Movie
Catfight,Two college frenemies whose lives aren't what they hoped meet up decades later and escalate their resentments from verbal jabs to bloody brawls.,Onur Tukel,"Comedies, Independent Movies","Sandra Oh, Anne Heche, Alicia Silverstone, Amy Hill, Myra Lucretia Taylor, Ariel Kavoussi, Damian Young, Stephen Gevedon, Giullian Yao Gioiello, Tituss Burgess",United States,2016.0,TV-MA,96 min,5.7/10,Movie
Chaahat,A vulnerable singer is forced to choose between the girl he loves and another who has developed an unhealthy obsession with him.,Mahesh Bhatt,"Dramas, International Movies, Romantic Movies","Naseeruddin Shah, Shah Rukh Khan, Pooja Bhatt, Anupam Kher, Ramya Krishnan, Avtar Gill, Mushtaq Khan",India,1996.0,TV-14,148 min,5.4/10,Movie
Chamatkar,"A village schoolteacher and the ghost of a murdered man, who were both betrayed by those closest to them, join forces to help each other.",Rajiv Mehra,"Comedies, International Movies, Sci-Fi & Fantasy","Shah Rukh Khan, Naseeruddin Shah, Urmila Matondkar, Malvika Tiwari, Shammi Kapoor, Deven Verma, Tinnu Anand, Anjana Mumtaz, Anjan Srivastav, Rakesh Bedi",India,1992.0,TV-14,164 min,6.5/10,Movie
Chameli,"While taking shelter from a Mumbai monsoon, an investment banker forms an unlikely connection with a naïve prostitute over the course of the night.",Sudhir Mishra,"Dramas, International Movies","Kareena Kapoor, Rahul Bose, Rinke Khanna, Yashpal Sharma, Makrand Deshpande, Kabir Sadanand, Pankaj Jha",India,2004.0,TV-14,102 min,6.9/10,Movie
Charming,"On the eve of his 21st birthday, an adored prince must find his one, true soulmate before a spell takes away all love from his kingdom.",Ross Venokur,"Children & Family Movies, Comedies","Wilmer Valderrama, Demi Lovato, Sia, Nia Vardalos, Ashley Tisdale, Avril Lavigne, G.E.M., John Cleese, Chris Harrison, Dee Bradley Baker, Carlos Alazraqui","Canada, United States, Cayman Islands",2021.0,TV-Y7,85 min,5.5/10,Movie
Chef,"After igniting a Twitter war with a well-known culinary critic, a Los Angeles chef packs his knives, heads home to Miami and opens a food truck.",Jon Favreau,"Comedies, Independent Movies","Jon Favreau, Sofía Vergara, John Leguizamo, Scarlett Johansson, Dustin Hoffman, Oliver Platt, Bobby Cannavale, Amy Sedaris, Robert Downey Jr., Emjay Anthony, Russell Peters",United States,2014.0,R,115 min,7.4/10,Movie
Chippa,"At midnight on his 10th birthday, a boy scours the lesser-known Kolkata streets in search of a father he’s never met, carrying a letter he can’t read.",Safdar Rahman,"Comedies, Dramas, Independent Movies","Sunny Pawar, Chandan Roy Sanyal, Gautam Sarkar, Sumeet Thakur, Mala Mukherjee, Masood Akhtar, Veer Rajwant Singh, Joyraj Bhattacharya",India,2020.0,TV-14,92 min,6.4/10,Movie
Chopsticks,A gifted but insecure woman embarks on a transformative journey when she enlists an enigmatic con man to recover her stolen car from an eccentric thug.,Sachin Yardi,"Comedies, Dramas, Independent Movies","Abhay Deol, Mithila Palkar, Vijay Raaz",India,2019.0,TV-MA,101 min,6.6/10,Movie
Christine,"In a film based on true events, an awkward but ambitious TV reporter struggles to adapt when she's ordered to focus on violent and salacious stories.",Antonio Campos,"Dramas, Independent Movies","Rebecca Hall, Michael C. Hall, Tracy Letts, Maria Dizzia, J. Smith-Cameron, Timothy Simons, Kim Shaw, John Cullum, Morgan Spector, Jayson Warner Smith","United Kingdom, United States",2016.0,R,119 min,6.8/10,Movie
Circle,"When a group of strangers is seized and awaits execution, they face the impossible task of choosing the one person among them worthy of being spared.","Aaron Hann, Mario Miscione","Dramas, Independent Movies, Sci-Fi & Fantasy","Julie Benz, Mercy Malick, Carter Jenkins, Molly Jackson, Michael Nardelli, Sara Sanderson, Kevin Sheridan, Cesar Garcia, Lisa Pelikan, Zachary James Rukavina, Lawrence Kao, Jordi Vilasuso, Kaiwi Lyman-Mersereau, Michael McLafferty, Allegra Masters, Autumn Federici, John Edward Lee, Matt Corboy",United States,2015.0,TV-MA,86 min,5.8/10,Movie
Citation,A bright student in Nigeria takes on the academic establishment when she reports a popular professor who tried to rape her. Based on real events.,Kunle Afolayan,"Dramas, International Movies","Temi Otedola, Jimmy Jean-Louis, Joke Silva, Gabriel Afolayan, Adjetey Anang, Ini Edo, Sadiq Daba, Wole Olowomojuore, Yomi Fash-Lanso, Bukunmi Oluwashina, Bienvenu Neba, Ray Reboul, Ibukun Awosika, Seun Kuti",Nigeria,2020.0,TV-MA,151 min,6.1/10,Movie
Clinical,A psychiatrist is plagued by flashbacks to a terrifying attack as she treats a new patient who was horribly disfigured in an accident.,Alistair Legrand,"Horror Movies, Thrillers","Vinessa Shaw, Kevin Rahm, William Atherton, Aaron Stanford, Wilmer Calderon, Sydney Tamiia Poitier, India Eisley, Nestor Serrano",United States,2017.0,TV-MA,104 min,4.9/10,Movie
Cloudburst,"A lesbian couple escapes from their nursing home and heads to Canada to get married. Along the way, they pick up a young male hitchhiker.",Thom Fitzgerald,"Comedies, Dramas, Independent Movies","Olympia Dukakis, Ryan Doucette, Brenda Fricker, Kristin Booth, Michael McPhee, John Dunsworth, Jeremy Akerman, Mary-Colin Chisholm, Kevin Kincaid","United States, Canada",2011.0,TV-MA,93 min,7.1/10,Movie
Congo,"Eight people, some with ulterior motives, go on an expedition to the Congo, where they find a lost city protected by killer apes.",Frank Marshall,"Action & Adventure, Thrillers","Dylan Walsh, Laura Linney, Ernie Hudson, Tim Curry, Joe Don Baker, Grant Heslov, Adewale Akinnuoye-Agbaje, Mary Ellen Trainor",United States,1995.0,PG-13,108 min,5.3/10,Movie
